departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,tipo_de_hurto,cantidad
CESAR,SAN DIEGO,20750009,ARMA BLANCA / CORTOPUNZANTE,10/05/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ARAUCA,ARAUCA (CT),81001000,ARMA BLANCA / CORTOPUNZANTE,04/03/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CESAR,VALLEDUPAR (CT),20001000,ARMA BLANCA / CORTOPUNZANTE,03/05/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ARAUCA,ARAUCA (CT),81001000,ARMA BLANCA / CORTOPUNZANTE,24/03/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,ALVARADO,73026000,ARMA BLANCA / CORTOPUNZANTE,14/05/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,ALVARADO,73026000,ARMA BLANCA / CORTOPUNZANTE,02/05/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,PUERTO GAITAN,50568000,ARMA BLANCA / CORTOPUNZANTE,16/04/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,MANI,85139000,ARMA BLANCA / CORTOPUNZANTE,15/05/2025,FEMENINO,ADULTOS,HURTO ABIGEATO,1
BOYACA,TASCO,15790000,ARMA BLANCA / CORTOPUNZANTE,19/05/2025,FEMENINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,IBAGUE (CT),73001001,ARMA BLANCA / CORTOPUNZANTE,25/04/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,NEIVA (CT),41001000,ARMA BLANCA / CORTOPUNZANTE,10/06/2025,FEMENINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,MARINILLA,5440000,ARMA BLANCA / CORTOPUNZANTE,21/06/2025,FEMENINO,ADULTOS,HURTO ABIGEATO,1
META,PUERTO GAITAN,50568000,ARMA BLANCA / CORTOPUNZANTE,05/06/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CESAR,AGUSTIN CODAZZI,20013000,ARMA BLANCA / CORTOPUNZANTE,22/06/2025,FEMENINO,ADULTOS,HURTO ABIGEATO,1
HUILA,PALERMO,41524000,ARMA BLANCA / CORTOPUNZANTE,23/06/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CESAR,VALLEDUPAR (CT),20001000,ARMA BLANCA / CORTOPUNZANTE,23/06/2025,FEMENINO,ADULTOS,HURTO ABIGEATO,1
META,CUMARAL,50226000,ARMA BLANCA / CORTOPUNZANTE,14/07/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,PALERMO,41524000,ARMA BLANCA / CORTOPUNZANTE,17/06/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
RISARALDA,SANTA ROSA DE CABAL,66682000,ARMA BLANCA / CORTOPUNZANTE,25/07/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,DON MATIAS,5237000,ARMA BLANCA / CORTOPUNZANTE,30/07/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,EL DORADO,50270000,ARMA BLANCA / CORTOPUNZANTE,02/08/2025,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CESAR,AGUSTIN CODAZZI,20013000,ARMA BLANCA / CORTOPUNZANTE,02/05/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CESAR,AGUSTIN CODAZZI,20013000,ARMA BLANCA / CORTOPUNZANTE,30/05/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CESAR,AGUSTIN CODAZZI,20013000,ARMA BLANCA / CORTOPUNZANTE,31/05/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
NARINO,PASTO (CT),52001000,ARMA BLANCA / CORTOPUNZANTE,12/07/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,ENTRERRIOS,5264000,ARMA BLANCA / CORTOPUNZANTE,10/08/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,TITIRIBI,5809000,ARMA BLANCA / CORTOPUNZANTE,28/08/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,SAN VICENTE,5674000,ARMA BLANCA / CORTOPUNZANTE,25/06/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAUCA,POPAYAN (CT),19001000,ARMA BLANCA / CORTOPUNZANTE,23/08/2025,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CAUCA,POPAYAN (CT),19001000,ARMA BLANCA / CORTOPUNZANTE,02/05/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAUCA,PURACE,19585000,ARMA BLANCA / CORTOPUNZANTE,05/03/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAUCA,POPAYAN (CT),19001000,ARMA BLANCA / CORTOPUNZANTE,05/02/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAUCA,SOTARA,19760000,ARMA BLANCA / CORTOPUNZANTE,10/02/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAUCA,SOTARA,19760000,ARMA BLANCA / CORTOPUNZANTE,30/01/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAUCA,SOTARA,19760000,ARMA BLANCA / CORTOPUNZANTE,30/01/2025,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CAUCA,SOTARA,19760000,ARMA BLANCA / CORTOPUNZANTE,15/02/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
